City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,namdrik,5.5994,168.1028,301.45,74,86,4.37,MH,1691698747
1,georgetown,5.4112,100.3354,299.11,92,20,1.03,MY,1691698748
2,longyearbyen,78.2186,15.6401,283.06,81,100,1.54,SJ,1691698748
3,aasiaat,68.7098,-52.8699,276.32,89,100,5.02,GL,1691698749
4,bridlington,54.0831,-0.1919,293.11,89,27,0.89,GB,1691698729
5,grytviken,-54.2811,-36.5092,271.13,97,94,3.5,GS,1691698750
6,jamaame,0.0697,42.745,296.88,84,50,5.37,SO,1691698750
7,port-aux-francais,-49.35,70.2167,277.02,93,100,15.65,TF,1691698751
8,waitangi,-43.9535,-176.5597,284.72,84,66,5.7,NZ,1691698827
9,mudanjiang,44.5833,129.6,292.73,98,100,3.56,CN,1691698796
10,avarua,-21.2078,-159.775,298.18,78,75,7.72,CK,1691698828
11,chernyshevskiy,63.0128,112.4714,288.7,78,100,1.55,RU,1691698828
12,bethel,41.3712,-73.414,297.01,85,100,0.89,US,1691698904
13,ancud,-41.8697,-73.8203,281.49,75,98,7.7,CL,1691698609
14,badger,64.8,-147.5333,294.33,88,100,1.54,US,1691698981
15,yellowknife,62.456,-114.3525,294.44,46,100,1.54,CA,1691698981
16,adamstown,-25.066,-130.1015,291.27,63,23,11.25,PN,1691698982
17,kapuskasing,49.4169,-82.4331,293.2,63,75,5.66,CA,1691698982
18,ushuaia,-54.8,-68.3,273.96,100,75,3.6,AR,1691699050
19,invercargill,-46.4,168.35,274.83,91,100,2.68,NZ,1691699054
20,ta'if,21.2703,40.4158,300.71,21,21,3.26,SA,1691699067
21,albany,42.6001,-73.9662,298.51,95,100,0.17,US,1691699068
22,as sulayyil,20.4607,45.5779,308.29,10,62,0.69,SA,1691699069
23,strezhevoy,60.7333,77.5889,284.84,96,100,4.77,RU,1691698826
24,dunedin,-45.8742,170.5036,275.82,76,100,2.14,NZ,1691699070
25,bardsir,29.9227,56.5743,295.42,20,1,2.96,IR,1691699071
26,el nido,11.1858,119.3956,300.83,82,100,5.76,PH,1691699071
27,tiksi,71.6872,128.8694,289.25,49,2,1.99,RU,1691699072
28,port mathurin,-19.6833,63.4167,295.84,80,36,8.66,MU,1691699073
29,port lincoln,-34.7333,135.8667,282.41,79,4,2.38,AU,1691699073
30,tegueste,28.5167,-16.3167,297.41,89,20,8.75,ES,1691699074
31,puerto ayora,-0.7393,-90.3518,302.13,90,51,2.68,EC,1691699074
32,meadow lakes,61.6247,-149.6011,291.89,78,40,0.45,US,1691699075
33,gaalkacyo,6.7697,47.4308,300.14,55,100,10.38,SO,1691699075
